Permissive,Description,Logic
M7143B_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7143_Sts) OTE(M7143B_FwdPerm.Inp_Perm00) 
M7143B_FwdPerm.Inp_Perm01,,
M7143B_FwdPerm.Inp_Perm02,,
M7143B_FwdPerm.Inp_Perm03,,
M7143B_FwdPerm.Inp_Perm04,,
M7143B_FwdPerm.Inp_Perm05,,
M7143B_FwdPerm.Inp_Perm06,,
M7143B_FwdPerm.Inp_Perm07,,
M7143B_FwdPerm.Inp_Perm08,,
M7143B_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7143_Sts) OTE(M7143B_RevPerm.Inp_Perm00) 
M7143B_RevPerm.Inp_Perm01,,
M7143B_RevPerm.Inp_Perm02,,
M7143B_RevPerm.Inp_Perm03,,
M7143B_RevPerm.Inp_Perm04,,
M7143B_RevPerm.Inp_Perm05,,
M7143B_RevPerm.Inp_Perm06,,
M7143B_RevPerm.Inp_Perm07,,
M7143B_RevPerm.Inp_Perm08,,
M7147C_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7147_Sts) OTE(M7147C_FwdPerm.Inp_Perm00) 
M7147C_FwdPerm.Inp_Perm01,,
M7147C_FwdPerm.Inp_Perm02,,
M7147C_FwdPerm.Inp_Perm03,,
M7147C_FwdPerm.Inp_Perm04,,
M7147C_FwdPerm.Inp_Perm05,,
M7147C_FwdPerm.Inp_Perm06,,
M7147C_FwdPerm.Inp_Perm07,,
M7147C_FwdPerm.Inp_Perm08,,
M7147C_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7147_Sts) OTE(M7147C_RevPerm.Inp_Perm00) 
M7147C_RevPerm.Inp_Perm01,,
M7147C_RevPerm.Inp_Perm02,,
M7147C_RevPerm.Inp_Perm03,,
M7147C_RevPerm.Inp_Perm04,,
M7147C_RevPerm.Inp_Perm05,,
M7147C_RevPerm.Inp_Perm06,,
M7147C_RevPerm.Inp_Perm07,,
M7147C_RevPerm.Inp_Perm08,,
M7148B_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7148_Sts) OTE(M7148B_FwdPerm.Inp_Perm00) 
M7148B_FwdPerm.Inp_Perm01,,
M7148B_FwdPerm.Inp_Perm02,,
M7148B_FwdPerm.Inp_Perm03,,
M7148B_FwdPerm.Inp_Perm04,,
M7148B_FwdPerm.Inp_Perm05,,
M7148B_FwdPerm.Inp_Perm06,,
M7148B_FwdPerm.Inp_Perm07,,
M7148B_FwdPerm.Inp_Perm08,,
M7148B_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7148_Sts) OTE(M7148B_RevPerm.Inp_Perm00) 
M7148B_RevPerm.Inp_Perm01,,
M7148B_RevPerm.Inp_Perm02,,
M7148B_RevPerm.Inp_Perm03,,
