Permissive,Description,Logic
M7039C_FwdPerm.Inp_Perm02,,
M7039C_FwdPerm.Inp_Perm03,,
M7039C_FwdPerm.Inp_Perm04,,
M7039C_FwdPerm.Inp_Perm05,,
M7039C_FwdPerm.Inp_Perm06,,
M7039C_FwdPerm.Inp_Perm07,,
M7039C_FwdPerm.Inp_Perm08,,
M7039C_RevPerm.Inp_Perm00,,
M7039C_RevPerm.Inp_Perm01,,
M7039C_RevPerm.Inp_Perm02,,
M7039C_RevPerm.Inp_Perm03,,
M7039C_RevPerm.Inp_Perm04,,
M7039C_RevPerm.Inp_Perm05,,
M7039C_RevPerm.Inp_Perm06,,
M7039C_RevPerm.Inp_Perm07,,
M7039C_RevPerm.Inp_Perm08,,
M7042C_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7042_Sts) OTE(M7042C_FwdPerm.Inp_Perm00) 
M7042C_FwdPerm.Inp_Perm01,,
M7042C_FwdPerm.Inp_Perm02,,
M7042C_FwdPerm.Inp_Perm03,,
M7042C_FwdPerm.Inp_Perm04,,
M7042C_FwdPerm.Inp_Perm05,,
M7042C_FwdPerm.Inp_Perm06,,
M7042C_FwdPerm.Inp_Perm07,,
M7042C_FwdPerm.Inp_Perm08,,
M7042C_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7042_Sts) OTE(M7042C_RevPerm.Inp_Perm00) 
M7042C_RevPerm.Inp_Perm01,,
M7042C_RevPerm.Inp_Perm02,,
M7042C_RevPerm.Inp_Perm03,,
M7042C_RevPerm.Inp_Perm04,,
M7042C_RevPerm.Inp_Perm05,,
M7042C_RevPerm.Inp_Perm06,,
M7042C_RevPerm.Inp_Perm07,,
M7042C_RevPerm.Inp_Perm08,,
M7043C_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7043_Sts) OTE(M7043C_FwdPerm.Inp_Perm00) 
M7043C_FwdPerm.Inp_Perm01,,
M7043C_FwdPerm.Inp_Perm02,,
M7043C_FwdPerm.Inp_Perm03,,
M7043C_FwdPerm.Inp_Perm04,,
M7043C_FwdPerm.Inp_Perm05,,
M7043C_FwdPerm.Inp_Perm06,,
M7043C_FwdPerm.Inp_Perm07,,
M7043C_FwdPerm.Inp_Perm08,,
M7043C_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7043_Sts) OTE(M7043C_RevPerm.Inp_Perm00) 
M7043C_RevPerm.Inp_Perm01,,
M7043C_RevPerm.Inp_Perm02,,
M7043C_RevPerm.Inp_Perm03,,
M7043C_RevPerm.Inp_Perm04,,
M7043C_RevPerm.Inp_Perm05,,
M7043C_RevPerm.Inp_Perm06,,
M7043C_RevPerm.Inp_Perm07,,
M7043C_RevPerm.Inp_Perm08,,
M7051C_FwdPerm.Inp_Perm00,Up Position,XIO(ZSU7051_Sts) OTE(M7051C_FwdPerm.Inp_Perm00) 
M7051C_FwdPerm.Inp_Perm01,,
M7051C_FwdPerm.Inp_Perm02,,
M7051C_FwdPerm.Inp_Perm03,,
M7051C_FwdPerm.Inp_Perm04,,
M7051C_FwdPerm.Inp_Perm05,,
M7051C_FwdPerm.Inp_Perm06,,
M7051C_FwdPerm.Inp_Perm07,,
M7051C_FwdPerm.Inp_Perm08,,
M7051C_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7051_Sts) OTE(M7051C_RevPerm.Inp_Perm00) 
M7051C_RevPerm.Inp_Perm01,,
M7051C_RevPerm.Inp_Perm02,,
M7051C_RevPerm.Inp_Perm03,,
M7051C_RevPerm.Inp_Perm04,,
M7051C_RevPerm.Inp_Perm05,,
M7051C_RevPerm.Inp_Perm06,,
M7051C_RevPerm.Inp_Perm07,,
M7051C_RevPerm.Inp_Perm08,,
M7053A_FwdPerm.Inp_Perm00,Lift Position,"[XIC(ZS02_7053) ,XIC(ZS05_7053) ] OTE(M7053A_FwdPerm.Inp_Perm00) "
M7053A_FwdPerm.Inp_Perm01,,
M7053A_FwdPerm.Inp_Perm02,,
M7053A_FwdPerm.Inp_Perm03,,
M7053A_FwdPerm.Inp_Perm04,,
M7053A_FwdPerm.Inp_Perm05,,
M7053A_FwdPerm.Inp_Perm06,,
M7053A_FwdPerm.Inp_Perm07,,
M7053A_FwdPerm.Inp_Perm08,,
M7053A_RevPerm.Inp_Perm00,Lift Position,XIC(ZS02_7053) OTE(M7053A_RevPerm.Inp_Perm00) 
M7053A_RevPerm.Inp_Perm01,,
M7053A_RevPerm.Inp_Perm02,,
M7053A_RevPerm.Inp_Perm03,,
M7053A_RevPerm.Inp_Perm04,,
M7053A_RevPerm.Inp_Perm05,,
M7053A_RevPerm.Inp_Perm06,,
M7053A_RevPerm.Inp_Perm07,,
M7053A_RevPerm.Inp_Perm08,,
M7053BC_FwdPerm.Inp_Perm00,ZS05 Up Position,<![CDATA[[XIO(ZS05_7053) OTE(M7053BC_FwdPerm.Inp_Perm00) 
M7053BC_FwdPerm.Inp_Perm01,ZS06 Over Travel,XIC(ZS06_7053) OTE(M7053BC_FwdPerm.Inp_Perm01) 
M7053BC_FwdPerm.Inp_Perm02,ZS11 Lock Pin,XIC(ZS11_7053) OTE(M7053BC_FwdPerm.Inp_Perm02) 
M7053BC_FwdPerm.Inp_Perm03,ZS12 Lock Pin,XIC(ZS12_7053) OTE(M7053BC_FwdPerm.Inp_Perm03) 
M7053BC_FwdPerm.Inp_Perm04,ZS13 Lock Pin,XIC(ZS13_7053) OTE(M7053BC_FwdPerm.Inp_Perm04) 
M7053BC_FwdPerm.Inp_Perm05,ZS14 Lock Pin,XIC(ZS14_7053) OTE(M7053BC_FwdPerm.Inp_Perm05) 
M7053BC_FwdPerm.Inp_Perm06,Pallet Position,"<![CDATA[[XIO(ZS05_7053) OTE(M7053BC_FwdPerm.Inp_Perm00) ,XIC(ZS06_7053) OTE(M7053BC_FwdPerm.Inp_Perm01) ,XIC(ZS11_7053) OTE(M7053BC_FwdPerm.Inp_Perm02) ,XIC(ZS12_7053) OTE(M7053BC_FwdPerm.Inp_Perm03) ,XIC(ZS13_7053) OTE(M7053BC_FwdPerm.Inp_Perm04) ,XIC(ZS14_7053) OTE(M7053BC_FwdPerm.Inp_Perm05) ,XIC(ZSB7053_Sts) XIC(ZSF7053_Sts) OTE(M7053BC_FwdPerm.Inp_Perm06) ];]]>"
M7053BC_FwdPerm.Inp_Perm07,,
M7053BC_FwdPerm.Inp_Perm08,,
M7053BC_RevPerm.Inp_Perm00,ZS01 Over Travel,<![CDATA[[XIC(ZS01_7053) OTE(M7053BC_RevPerm.Inp_Perm00) 
M7053BC_RevPerm.Inp_Perm01,ZS02 Down Position,XIO(ZS02_7053) OTE(M7053BC_RevPerm.Inp_Perm01) 
M7053BC_RevPerm.Inp_Perm02,ZS11 Lock Pin,XIC(ZS11_7053) OTE(M7053BC_RevPerm.Inp_Perm02) 
M7053BC_RevPerm.Inp_Perm03,ZS12 Lock Pin,XIC(ZS12_7053) OTE(M7053BC_RevPerm.Inp_Perm03) 
M7053BC_RevPerm.Inp_Perm04,ZS13 Lock Pin,XIC(ZS13_7053) OTE(M7053BC_RevPerm.Inp_Perm04) 
M7053BC_RevPerm.Inp_Perm05,ZS14 Lock Pin,XIC(ZS14_7053) OTE(M7053BC_RevPerm.Inp_Perm05) 
