Registers,MM,Inch
405016,456,18
405018,457,18
405020,458,19
405022,459,19
405024,460,19
405026,461,19
405028,462,19
405030,463,19
405032,464,19
405034,465,19
405036,466,19
405038,467,19
405040,468,19
405042,469,19
405044,470,19
405046,471,19
405048,472,19
405050,473,19
405052,474,19
405054,475,19
405056,476,19
405058,477,19
405060,478,19
405062,479,19
405064,480,19
405066,481,19
405068,482,19
405070,483,20
405072,484,20
405074,485,20
405076,486,20
405078,487,20
405080,488,20
405082,489,20
405084,490,20
405086,491,20
405088,492,20
405090,493,20
405092,494,20
405094,495,20
405096,496,20
405098,497,20
405100,498,20
405102,499,20
405104,500,20
405106,501,20
405108,502,20
